dataset_id,beta,train_mse,train_acc_realistic,train_acc_optimistic,train_target_rate,num_adversaries
5,0.10000,7442.162109,0.310345,0.000000,0.000000,7
5,0.05000,6277.421387,0.310345,1.000000,0.000000,0
5,0.01000,589.324646,0.310345,1.000000,0.000000,0
5,0.00500,6.345574,0.103448,0.000000,0.000000,7
5,0.00100,1319.382568,0.310345,0.000000,0.000000,7
5,0.00050,528.870300,0.310345,1.000000,0.000000,0
5,0.00010,0.064472,0.000000,0.793103,0.000000,1
5,0.00001,0.113460,0.241379,0.103448,0.000000,7
6,0.10000,0.072844,0.308594,0.910156,0.484606,25
6,0.05000,0.043074,0.113281,0.943359,0.943390,5
6,0.01000,0.298997,0.378906,0.726562,0.466402,30
6,0.00500,0.158038,0.416016,0.714844,0.223807,64
6,0.00100,0.443965,0.343750,0.941406,0.000000,28
6,0.00050,0.355502,0.289062,0.777344,0.000000,42
6,0.00010,0.612284,0.341797,0.744141,0.000000,60
6,0.00001,0.256101,0.101562,0.460938,0.903203,117
